Abbrev,Full Name,Description,+/-,Update
PKF,Penalty Kicks Faced,Number of penalty kicks faced by the goalkeeper,+,Live
PKM,Penalty Kicks Missed,Number of penalty kicks where the shooter did not score,-,Live
Pts,Points,Goals + Assists,+,Live
Pt/90,Points Per 90 Minutes,Points Per 90 Minutes,+,Live
Pt/G,Points Per Game,Points Per Game,+,Live
PL,Possessions Lost,Total losses of possession,-,Live
PLC,Possessions Lost - Control,Total losses of possession excluding clearances & long GK distribution,-,Live
Pu,Punches,Goalkeeper punches the ball clear from a high ball,+,Live
RC,Red Cards,"If a player receives a red card and then has his red card rescinded at a later time, his red card will remain (i.e. he will have credit for both a red card and a red card rescinded).",-,Live
RCR,Red Cards Rescinded,Red card rescinded by the referee,+,Live
Sv%,Save Percentage,Save Percentage,+,Live
Sv,Saves,Saves,+,Live
SvIB,Saves Inside the Box,Saves Inside the Box,+,Live
SvOB,Saves Outside the Box,Saves Outside the Box,+,Live
SYC,Second Yellow Cards,Second Yellow Cards,-,Live
SA,Shooting Accuracy,Shots on Target / Shots,+,Live
S,Shots,Shots,+,Live
SA,Shots Against,"Any shot against the goalkeeper, whether or not it missed the net",+,Live
SAD,Shots Against Defenders,Shots conceded by the team while the defender was on the field. Only a player who plays as a Defender in his real-life game will get credit for this stat.,-,Live
SAF,Shots Against Forwards,Shots conceded by the team while the forward was on the field. Only a player who plays as a Forward in his real-life game will get credit for this stat.,-,Live
SAM,Shots Against Midfielders,Shots conceded by the team while the midfielder was on the field. Only a player who plays as a Midfielder in his real-life game will get credit for this stat.,-,Live
SAO,Shots Against Outfielders,Shots conceded by the team while the player was on the field. Any outfielder will get credit for this stat.,-,Live
SB,Shots Blocked,Shots blocked (against the shooter),-,Live
S/90,Shots Per 90 Minutes,Shots Per 90 Minutes,+,Live
S/G,Shots Per Game,Shots Per Game,+,Live
SOP,Shots off the Post,Shots off the Post,+,Live
SOT,Shots on Target,Shots on Target,+,Live
STA,Shots on Target Against,Shots on Target Against,+,Live
SOT/90,Shots on Target Per 90 Minutes,Shots on Target Per 90 Minutes,+,Live
SOT/G,Shots on Target Per Game,Shots on Target Per Game,+,Live
Sm,Smothers,Smothers,+,Live
SBOF,Substitutions Off,Substitutions Off,+,Live
SBON,Substitutions On,Substitutions On,+,Live
CoS,Successful Dribbles (Contests Succeeded),Total dribbles where a player beats an opponent - no overruns,+,Live
CoSF,Successful Dribbles (Contests Succeeded) + Plus Fouls Suffered,Successful Dribbles (Contests Succeeded) + Plus Fouls Suffered,+,Live
SFTP,Successful Final Third Passes,"Total successful passes where the ball ends in the final third of the pitch (excluding throw-ins, keeper throws, goal kicks and crosses).",+,Live
Tk,Tackles,Total tackle attempts,+,Live
TLM,Tackles - Last Man,When a player makes a defensive action/tackle and they are the last person between the opponent and the goal,+,Live
TkW,Tackles Won,Total tackles won (winning possession or putting the ball out of play),+,Live
TkW+BS,Tackles Won + Blocked Shots,Tackles Won + Blocked Shots,+,Live
TkWI,Tackles Won + Interceptions,Tackles Won + Interceptions,+,Live
Tu,Turnovers,The loss of possession of the ball.,-,Live
W,Wins,"A win by the player's team. The player only gets credit for the win if he plays 60+ min, and is on his team's official Active roster or he is suspended.",+,Live
YC,Yellow Cards,Yellow Cards,-,Live
